A0 im x0 z0
3.353314619176443898e+02 -6.268976943848379335e+01 3.994872389672916597e+02 6.127836929528368728e+02
8.793917037201107689e+01 -6.976227575678962012e+00 1.616679659075225572e+03 1.116783684027038532e+02
7.191292177837868849e+01 -5.240491576414635944e+01 2.302254497024156080e+03 2.026469381259213378e+02
3.564962823178879603e+01 -7.564204914007269132e+00 2.794225919777333274e+03 8.825542913584860116e+01
9.947203332237204165e+01 -6.583772950155930914e+01 3.464133365814450372e+03 2.404955466470393048e+02
1.041929231804683553e+02 -4.786448247827600255e+01 4.085644328849628437e+03 3.088859600875789511e+02
1.774109496419172558e+02 -1.163489947287431470e+01 4.702394314270460200e+03 3.575573065206926913e+02
2.433865094155495967e+02 -6.104745542298685024e+01 5.602558251068277059e+03 8.056450344877383714e+02
1.201533166761554838e+02 -1.164988711968205948e+01 6.291090415657370613e+03 3.598145087191988409e+02
1.469818096328272077e+02 -2.577802921880457987e+01 7.146460814362875681e+03 1.760011133694532930e+02
1.703178765101905583e+02 2.987537230397537602e+00 7.693341320728343817e+03 6.055127697266158293e+02
1.495892263415953494e+02 -3.998791532374788460e+01 8.310508476318755129e+03 2.757633835016180228e+02
2.561147016801506311e+02 9.183247290281601138e+00 9.117849984416452571e+03 3.215752128983725129e+02
7.841372334062170069e+01 7.788061194211556426e+01 9.805595237153018388e+03 1.439545755666814273e+02
1.436281149566852662e+02 8.650888569158213670e+01 1.042546115716710847e+04 1.240440300533362915e+03
1.001205128815643661e+02 9.000000000000000000e+01 1.163264563341213761e+04 1.160820983078392601e+02
2.300230000000000175e+01 9.000000000000000000e+01 1.214436971291433838e+04 1.721882356415885340e+01
9.490671314250039359e+01 9.000000000000000000e+01 1.294708875739244831e+04 1.062175904329768628e+02
6.858432590156869679e+00 1.494314938420529160e+01 1.348591812893939823e+04 1.749770034814906410e+02
7.930908065272414831e+01 9.000000000000000000e+01 1.425754001217822406e+04 2.200041284733604243e+02
3.693057899261286536e+01 9.000000000000000000e+01 1.515206337241718575e+04 3.039496983119530569e+02
7.701189097663977634e+01 9.000000000000000000e+01 1.547198536394151051e+04 8.180906583388579065e+02
1.235451030082592609e+02 -2.154823594653343477e+01 1.601008307784192402e+04 4.139206870893872861e+02
1.331140396138414417e+02 7.343323752671355287e+00 1.693319573537084943e+04 2.843373465965099740e+02
6.027124253110432761e+01 4.872456399381418635e+01 1.795771153044967650e+04 1.552680471919048841e+02
7.773512968456596184e+01 6.545154064473966571e+01 1.822116123283041452e+04 6.828482792052053583e+02
3.493108375168849733e+01 2.035692123689305433e+01 1.893931068412647073e+04 6.782515947687392099e+01
1.700169999999999959e+01 5.606383302191508733e+01 1.981696860508645113e+04 2.797349568254068117e+02
3.698537689516539473e+01 -3.057488840670911756e+01 2.036404601610805184e+04 2.689137785459765837e+02
2.886371653521200997e+01 -1.511851848668383802e+01 2.183582550446981986e+04 2.573831528053862598e+02
4.416410468711394088e+01 -9.000000000000000000e+01 2.322853605318369591e+04 2.229170661298887239e+02
4.798608027300362977e+01 -7.987208274261647034e+01 2.403423070096376614e+04 2.094549036859648368e+02
2.994814631808229421e+01 -6.658730632295883822e+01 2.451772724010095044e+04 2.293085695521723437e+02
6.438934332885364142e+01 -6.365236034683235999e+01 2.497119189161169925e+04 2.903734958645777624e+02
9.632540023464854073e+01 -1.136539034748720312e+01 2.549334316165587734e+04 5.650819481612011259e+02
4.892959983340353602e+01 1.443583512297495908e+01 2.622945195617748323e+04 3.688970354471567816e+02
4.259460483075994830e+01 9.000000000000000000e+01 2.681021913414827213e+04 3.213087450273433774e+02
4.803038902872464888e+01 -9.000000000000000000e+01 2.725923108592060453e+04 2.544212597462491203e+02
3.963521790595070371e+01 -3.923970448369153985e+00 2.785537333122094424e+04 3.296178813587609966e+02
8.097493413297844711e+01 -9.000000000000000000e+01 2.854369366205355254e+04 2.432166140203034956e+02
5.669025556345428640e+01 4.117796800322279793e-01 2.925576324578864296e+04 3.179850064179289006e+02
3.732816302498549703e+02 5.851612241108740875e+01 2.991136181692399623e+04 1.092085891871924787e+03
