prism,std_A0,std_im,std_x0,std_z0
1,23,2,0,13
2,15,8,4,0
3,23,26,6,8
4,0,27,7,2
5,24,4,6,22
6,1,8,0,10
7,5,6,34,2
8,11,11,7,7
9,20,15,9,4
10,25,0,2,5
11,38,5,6,4
12,18,6,15,13
13,48,8,14,13
14,16,9,3,0
15,11,54,4,3
16,32,0,64,23
17,9,0,15,2
18,2,0,2,8
19,8,6,4,4
20,0,0,26,1
21,3,0,14,9
22,1,0,2,1
23,14,1,5,2
24,0,1,22,41
25,9,0,13,10
26,0,8,3,4
27,9,3,20,20
28,0,23,0,4
29,5,5,13,17
30,10,3,13,1
31,6,2,5,74
32,6,10,1,11
33,8,13,0,4
34,12,27,1,4
35,25,59,0,6
36,8,51,2,4
37,3,59,2,3
38,11,127,2,4
39,8,60,2,13
40,3,0,7,17
41,13,7,2,7
42,43,5,10,0
