x0 z0 A0 im
1.700132766786617822e+03 5.484267561530489843e+01 9.746725177846256827e+01 6.061856035618482963e+01
3.253045740547182959e+03 1.916608662638972760e+02 9.729313519419663692e+01 -4.497241143590719759e+01
3.825362423222368761e+03 1.737485162640907106e+02 9.482852815990364093e+01 -7.891346531014391985e+01
5.048845868616505868e+03 1.554412145619907051e+02 1.055825446102716398e+02 -5.773128677453255619e+01
6.898865313557230365e+03 1.399399183972033995e+02 8.618049547640057995e+01 -5.074203145131070869e+01
8.643260074940038976e+03 6.105928646733269716e+01 2.561252473537323340e+02 4.044620888952193383e+01
8.961339948680801172e+03 7.404320827406647254e+01 2.198118279127177743e+02 1.160723929482584680e+02
1.055959198141711386e+04 5.702698199227145892e+01 1.225529951998098710e+02 8.544988011010664763e+01
1.173481646623901725e+04 1.439512288482635540e+02 8.909371919894260827e+01 -9.026161349787112442e+01
1.312646560733890874e+04 5.571433038923913728e+01 9.061643455400434277e+01 7.449012432828968144e+01
1.378814756726969608e+04 1.442985322433477506e+02 9.699089915330237943e+01 -7.829379257618107602e+01
1.503437730791690956e+04 5.652873030469788773e+01 1.012821299954842402e+02 7.038867349204271306e+01
1.664769834721719599e+04 5.724097220831504274e+01 1.039836204354468521e+02 6.975477878853544667e+01
1.854076993168212357e+04 5.366765783824558866e+01 1.298488603954232019e+02 6.460805234386526763e+01
1.919310752216234687e+04 5.554622435104968758e+01 1.514434691231695069e+02 8.723274569371874065e+01
2.104495811991031223e+04 1.640893902370448814e+02 1.291645647185012251e+02 -9.791893461986917657e+01
2.232345756910000273e+04 2.885495779047765268e+02 1.067997209388051374e+02 -8.346388321785140363e+01
2.283708266196612385e+04 4.524126575189430355e+01 4.511497919708529736e+01 5.992463945388684721e+01
2.461455999951987178e+04 5.962876204914624623e+01 1.096027019968306888e+02 6.717703275865842727e+01
2.608753588467235750e+04 1.369858528455868623e+02 1.417827050447883721e+02 -6.914282107620992690e+01
2.719653198081506707e+04 1.269101315668063137e+02 2.436766780779245067e+01 -4.351639723993634590e+01
2.757457392533357415e+04 5.506929398708680878e+01 5.043430342410922407e+01 2.538246896606358760e+01
