TFA AMA INC
2.081930508371646127e+01 2.170763296195570291e+01 7.254797100723519065e+01
2.116033863069307230e+01 2.206476532349646291e+01 7.247971402732353852e+01
2.152003684598919264e+01 2.244167319821465512e+01 7.240180045751971250e+01
2.190021177843066980e+01 2.284029541833133692e+01 7.231361644781075881e+01
2.230292371406248719e+01 2.326283833578699500e+01 7.221453194526122843e+01
2.273052499992726183e+01 2.371182301155096894e+01 7.210390784072755821e+01
2.318571338386610847e+01 2.419014253541460846e+01 7.198110616399340245e+01
2.367159733861475246e+01 2.470113204838276033e+01 7.184550434792490137e+01
2.419177658745783077e+01 2.524865479803904478e+01 7.169651492518771363e+01
2.475044205932216812e+01 2.583720857167584839e+01 7.153361248697255803e+01
2.535250087722573653e+01 2.647205822068146119e+01 7.135637037027416341e+01
2.600373387543080028e+01 2.715940185302463306e+01 7.116451041779413345e+01
2.671099576642226126e+01 2.790658083148784741e+01 7.095797037295825760e+01
2.748247176189169139e+01 2.872234726971729302e+01 7.073699517940194426e+01
2.832800967357528776e+01 2.961720770326829921e+01 7.050226086914814516e+01
2.925955400472961543e+01 3.060386868075282152e+01 7.025504317801453169e+01
3.029171939266343117e+01 3.169782015436019051e+01 6.999744802866608495e+01
3.144255666488793111e+01 3.291810724753325701e+01 6.973272836339492642e+01
3.273458832721610179e+01 3.428836254300767905e+01 6.946572274764521637e+01
3.419622552454310238e+01 3.583820302862178409e+01 6.920346773573777455e+01
3.586373154899816029e+01 3.760514378118780598e+01 6.895606154836444546e+01
3.778397699446641411e+01 3.963725285435370438e+01 6.873789680548999570e+01
4.001835152950722829e+01 4.199688141024993371e+01 6.856944457780936375e+01
4.264837202156084572e+01 4.476596777650851777e+01 6.847987776823990203e+01
4.578376314688547666e+01 4.805365443523957936e+01 6.851099863610400575e+01
4.957404037725023471e+01 5.200727997196052854e+01 6.872323572136419045e+01
5.422464746941771807e+01 5.682813967587069470e+01 6.920498969638641995e+01
6.001750917531387586e+01 6.279334752660285801e+01 7.008747537130902572e+01
6.732995128645758598e+01 7.028309198967760096e+01 7.156856979131687524e+01
7.662341507885004432e+01 7.980288868577451922e+01 7.395078949454217820e+01
8.829658972161043096e+01 9.195427135576177591e+01 7.769778648308584934e+01
1.020711005625784509e+02 1.071912826689568305e+02 8.349752901551093487e+01
1.151590986193944985e+02 1.249258385859450726e+02 9.224025078754181095e+01
1.192293031445688740e+02 1.414984979423624054e+02 1.045904283109909301e+02
1.033145257919006781e+02 1.492407110611275414e+02 1.197803755588185908e+02
7.079052819208332892e+01 1.431283308929779139e+02 1.348972731555022619e+02
3.971227999536867515e+01 1.278852823435732375e+02 1.470245370806588312e+02
1.944200087708167857e+01 1.111859252512658145e+02 1.553960279465896406e+02
8.415674274297284541e+00 9.683292993287595607e+01 1.606927297354373252e+02
2.941616468345735314e+00 8.553050273171135132e+01 1.638314428819120394e+02
4.534668100127241530e-01 7.689170946429906905e+01 1.655313092769784760e+02
-4.785573276504884177e-01 7.035059594246231995e+01 1.662887305291526445e+02
-6.094643991221015966e-01 6.542057956914534600e+01 1.664386472242054538e+02
-3.381107002141643392e-01 6.173226086560008241e+01 1.662096821886801763e+02
1.205286691913940444e-01 5.901573524005952009e+01 1.657612304962490839e+02
6.470692610444288562e-01 5.707585546389535125e+01 1.652068857883687656e+02
1.172343431890320531e+00 5.577185039013076562e+01 1.646292936716630209e+02
1.653474874008246331e+00 5.500251268364955592e+01 1.640898742459171160e+02
2.060726607181480929e+00 5.469588018917746552e+01 1.636354801528935639e+02
2.369791046095361509e+00 5.480215295999018821e+01 1.633031978808001838e+02
2.556774340187223160e+00 5.528885410830292813e+01 1.631240093616480351e+02
2.594373261381653251e+00 5.613752073279172095e+01 1.631257608799240302e+02
2.448337293930087810e+00 5.734140589522674247e+01 1.633357408985490054e+02
2.073578680409838171e+00 5.890377178780821765e+01 1.637830904440980078e+02
1.409406910625060405e+00 6.083635243496743783e+01 1.645012236886585129e+02
3.734388622441180416e-01 6.315743710516482423e+01 1.655303937098474023e+02
-1.146075175808071833e+00 6.588871634038177660e+01 1.669204621502509553e+02
-3.299158439303868207e+00 6.904944618714725380e+01 1.687337550468703000e+02
-6.282199959826728630e+00 7.264551679665716222e+01 1.710474807926763106e+02
-1.033910329039340681e+01 7.664969731809138409e+01 1.739543144766514899e+02
-1.574097351021517888e+01 8.096838824824544645e+01 1.775580737179576545e+02
