x0 z0 A0 im
1.664787239758948999e+04 5.065606074075394361e+01 1.011934971062585191e+02 6.728340276382601814e+01
1.055383577623483143e+04 4.800332075090958028e+01 1.013666905524847834e+02 6.843738063302716057e+01
2.461299563520212905e+04 5.000706790913653776e+01 9.960348273779766259e+01 6.813920567608533929e+01
1.853720866458147793e+04 4.939075555113223004e+01 9.951055782038982045e+01 6.946542376594503310e+01
8.656833744770174235e+03 4.848511944886202230e+01 9.973481009631153427e+01 6.728340276382601814e+01
1.919143270711170408e+04 5.098960401796344399e+01 9.831758304500918655e+01 6.878355782107138339e+01
2.749061574141588426e+04 5.108940387125028337e+01 9.831758304500918655e+01 6.846915544591492164e+01
1.503321630907781400e+04 4.939645308617866704e+01 9.901727743729902897e+01 6.789247828311091837e+01
2.280932741889755198e+04 4.939645308617866704e+01 1.008305515528795127e+02 6.819666278288102035e+01
1.312414912957817614e+04 5.000706790913653776e+01 1.011111387356717444e+02 6.843738063302716057e+01
8.948654145048154533e+03 5.108940387125028337e+01 9.881642528531784819e+01 6.819666278288102035e+01
1.699328053063558400e+03 5.010999645963360649e+01 9.951055782038982045e+01 6.846915544591492164e+01
2.232455939833028242e+04 1.490617331289290064e+02 1.005673316060413640e+02 -6.756646733202546784e+01
3.749879158955209277e+03 1.525021842049024201e+02 1.005987243243912985e+02 -6.865435093545936240e+01
1.377110115289495116e+04 1.490617331289290064e+02 9.998295819220047065e+01 -6.841095742954745162e+01
2.609294698820365738e+04 1.471530789859607182e+02 1.012756101731318239e+02 -6.732672202569854392e+01
1.175380087518095752e+04 1.540398479999199139e+02 9.889372797746264609e+01 -6.756646733202546784e+01
2.734031729599362006e+04 1.560949800127694118e+02 9.995945862159003070e+01 -6.831136792665043345e+01
3.309179338865332738e+03 1.467196632954394317e+02 9.889372797746264609e+01 -6.742623143895778526e+01
5.036313715003821017e+03 1.516035577798311351e+02 1.001762850098338617e+02 -6.865435093545936240e+01
2.103251198005927654e+04 1.471530789859607182e+02 9.995945862159003070e+01 -6.837855512126249380e+01
6.897277090460193904e+03 1.496016578667277486e+02 9.938773409626820410e+01 -6.732731174311558675e+01
