TFA AMA Th Tz
1.553081289693841072e+01 2.112084128521891202e+01 -7.453544266474700919e+00 1.976194865045220794e+01
1.575034189967995779e+01 2.140402767370599690e+01 -7.537880135455769626e+00 2.003279220978127739e+01
1.598219812971044185e+01 2.170030106479957155e+01 -7.623075052446266930e+00 2.031727818994741241e+01
1.622755065643395156e+01 2.201082367797601336e+01 -7.709088836284679225e+00 2.061665123867648219e+01
1.648771861475419342e+01 2.233691183398706670e+01 -7.795879280998724070e+00 2.093231703647272468e+01
1.676419546453368170e+01 2.268006280097684169e+01 -7.883403906699982144e+00 2.126586916869566579e+01
1.705867799324378353e+01 2.304198737910792261e+01 -7.971622667333149614e+00 2.161912149992753740e+01
1.737310115015220902e+01 2.342464967171182622e+01 -8.060502023078237599e+00 2.199414738921198875e+01
1.770968008582179465e+01 2.383031591201160992e+01 -8.150020958350438605e+00 2.239332746254389050e+01
1.807096113934499471e+01 2.426161477416919610e+01 -8.240179777506584813e+00 2.281940815806922984e+01
1.845988399360592425e+01 2.472161234680103803e+01 -8.331012877694941920e+00 2.327557392326097840e+01
1.887985784006557566e+01 2.521390595788917111e+01 -8.422607240322630417e+00 2.376553683232389957e+01
1.933485520339109343e+01 2.574274241368720340e+01 -8.515129190270942061e+00 2.429364859074169303e+01
1.982952812902347617e+01 2.631316809544133051e+01 -8.608863188172675152e+00 2.486504152070285656e+01
2.036935280246683178e+01 2.693122095399456484e+01 -8.704268273393571675e+00 2.548580734247337887e+01
2.096081042598845556e+01 2.760417805281391779e+01 -8.802060631417294445e+00 2.616322561559081450e+01
2.161161440087364838e+01 2.834087736779845557e+01 -8.903335221482794992e+00 2.690605790357432880e+01
2.233099658466571213e+01 2.915213968516519927e+01 -9.009746470915031225e+00 2.772492951755184976e+01
2.313006851342732517e+01 3.005132655373575545e+01 -9.123779416444040891e+00 2.863282865522258902e+01
2.402227655083242652e+01 3.105508464087744969e+01 -9.249161263186174153e+00 2.964576357558764030e+01
2.502397165474899410e+01 3.218434731585868036e+01 -9.391494230592671855e+00 3.078363279836485589e+01
2.615511155837510415e+01 3.346569320964527350e+01 -9.559242806773548651e+00 3.207138130737816795e+01
2.744009776080858032e+01 3.493320157524809844e+01 -9.765298448089090755e+00 3.354053545363676392e+01
2.890870323212719839e+01 3.663099730927256559e+01 -1.002950209637658752e+01 3.523122268060976126e+01
3.059692558520887573e+01 3.861674125431648008e+01 -1.038278420623193021e+01 3.719476437927318102e+01
3.254730208028055927e+01 4.096637295858351280e+01 -1.087408243862674517e+01 3.949681056110369326e+01
3.480750439510590866e+01 4.378037823882331736e+01 -1.158209178659256011e+01 4.222057162783776363e+01
3.742431753949462347e+01 4.719149975606388381e+01 -1.263545631348913112e+01 4.546848241338702223e+01
4.042606111913246281e+01 5.137245828557122707e+01 -1.424746505921503292e+01 4.935726096218471071e+01
4.377723114796071968e+01 5.653802809163456544e+01 -1.677402872946939283e+01 5.399241225092091412e+01
4.726968587244558506e+01 6.292389401192206577e+01 -2.080122615249173279e+01 5.938623938402309221e+01
5.028469300627603644e+01 7.069506125326756774e+01 -2.723614316066872476e+01 6.523790455965620083e+01
5.137156297022922757e+01 7.968208699776211290e+01 -3.723193173213478957e+01 7.044869230732807353e+01
4.791201505815030259e+01 8.883818626349038539e+01 -5.141524854371075293e+01 7.244788165139863167e+01
3.720796343813060503e+01 9.573405966864140737e+01 -6.784629805440927441e+01 6.754176501211124162e+01
2.022347833117879290e+01 9.748040953832233413e+01 -8.083997413401741028e+01 5.447319364394235208e+01
3.053348848314129782e+00 9.346862203987089401e+01 -8.547253977277431147e+01 3.782629047136070000e+01
-8.971724471957109870e+00 8.608018907216055027e+01 -8.273834954151821819e+01 2.375214655235313899e+01
