prism A0 im x0 z0
1.000000000000000000e+00 7.137545131373902052e+01 2.456957632219868515e+01 9.999296620809489468e+03 5.436722352468419217e+01
1.000000000000000000e+00 7.332595137443321676e+01 2.450989676115890958e+01 9.999297014833993671e+03 5.436727337392812842e+01
1.000000000000000000e+00 7.137547729172986521e+01 2.456948848827225618e+01 9.999296896886515242e+03 5.436725730668996448e+01
1.000000000000000000e+00 7.137545360006964756e+01 2.456946478002890188e+01 9.999296903829754228e+03 5.436722971973574658e+01
1.000000000000000000e+00 7.332596123371843078e+01 2.450987652097872171e+01 9.999297016700824315e+03 5.436726996507428566e+01
1.000000000000000000e+00 7.137539172722803471e+01 2.456945994468856753e+01 9.999296991882061775e+03 5.436699379231720286e+01
1.000000000000000000e+00 7.137544407420432435e+01 2.456946949572011718e+01 9.999297002310373500e+03 5.436717278693916455e+01
1.000000000000000000e+00 7.137540981158086595e+01 2.456946260992549469e+01 9.999296915163380618e+03 5.436704432691888655e+01
1.000000000000000000e+00 7.332589247843645808e+01 2.450998899629212957e+01 9.999296520937161404e+03 5.436698364026227637e+01
1.000000000000000000e+00 7.137550170606496636e+01 2.456948078348810327e+01 9.999296837764097290e+03 5.436740054429967017e+01
2.000000000000000000e+00 7.077673267714246208e+01 -3.639615548213982521e+01 2.000069024841960709e+04 1.528609091113655154e+02
2.000000000000000000e+00 7.077681287106031505e+01 -3.639623297579058203e+01 2.000069077895172086e+04 1.528614354848474193e+02
2.000000000000000000e+00 7.077671327600677387e+01 -3.639612696149663407e+01 2.000068960241001696e+04 1.528609239838129383e+02
2.000000000000000000e+00 7.077680761310315916e+01 -3.639605545208610238e+01 2.000068926334784919e+04 1.528613178053993522e+02
2.000000000000000000e+00 7.397110496270217084e+01 -3.637931789597336518e+01 2.000068674792037928e+04 1.528635528397408905e+02
2.000000000000000000e+00 7.077676092976648192e+01 -3.639610063793904260e+01 2.000068958792835838e+04 1.528610866086421254e+02
2.000000000000000000e+00 7.397081660030768546e+01 -3.637964718818778209e+01 2.000068906377259191e+04 1.528615141533955750e+02
2.000000000000000000e+00 7.077689744356877100e+01 -3.639604837688952443e+01 2.000068911764092627e+04 1.528618212945499977e+02
2.000000000000000000e+00 7.397135401013677836e+01 -3.638010874128770666e+01 2.000069361248334826e+04 1.528646070498847678e+02
2.000000000000000000e+00 7.077675436481261784e+01 -3.639608504627681640e+01 2.000068964296465128e+04 1.528610943732076350e+02
